Наименование	Ссылка	Значение	Представление	ОтборЗначений
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d59371-dd41-11e8-83dc-485ab6090f00	File	Файл конфигурации/расширения конфигурации	
e9d59376-dd41-11e8-83dc-485ab6090f00	e9d59377-dd41-11e8-83dc-485ab6090f00	ByObjectNames	По именам	
e9d59376-dd41-11e8-83dc-485ab6090f00	e9d59378-dd41-11e8-83dc-485ab6090f00	ByObjectIDs	По идентификаторам	
e9d5937b-dd41-11e8-83dc-485ab6090f00	e9d5937c-dd41-11e8-83dc-485ab6090f00	Brief	Краткий отчет	
e9d5937b-dd41-11e8-83dc-485ab6090f00	e9d5937d-dd41-11e8-83dc-485ab6090f00	Full	Полный отчет	
e9d59381-dd41-11e8-83dc-485ab6090f00	e9d59382-dd41-11e8-83dc-485ab6090f00	txt	Текстовый документ	
e9d59381-dd41-11e8-83dc-485ab6090f00	e9d59383-dd41-11e8-83dc-485ab6090f00	mxl	Табличный документ	
e9d59394-dd41-11e8-83dc-485ab6090f00	e9d59395-dd41-11e8-83dc-485ab6090f00	-AllExtensions	Выгрузить все расширения	
e9d59394-dd41-11e8-83dc-485ab6090f00	e9d59396-dd41-11e8-83dc-485ab6090f00	-Extension	Выгрузить расширение по имени	
e9d59398-dd41-11e8-83dc-485ab6090f00	e9d59399-dd41-11e8-83dc-485ab6090f00	Hierarchical	Иерархический	
e9d59398-dd41-11e8-83dc-485ab6090f00	e9d5939a-dd41-11e8-83dc-485ab6090f00	Plain	Линейный (не рекомендуется)	
e9d593a5-dd41-11e8-83dc-485ab6090f00	e9d593a6-dd41-11e8-83dc-485ab6090f00	-Extension	Вывести расширение по имени	
e9d593a5-dd41-11e8-83dc-485ab6090f00	e9d593a7-dd41-11e8-83dc-485ab6090f00	-AllExtensions	Вывести все расширения	
e9d593b5-dd41-11e8-83dc-485ab6090f00	e9d593b6-dd41-11e8-83dc-485ab6090f00	-AllExtensions	Загрузить все расширения	
e9d593b5-dd41-11e8-83dc-485ab6090f00	e9d593b7-dd41-11e8-83dc-485ab6090f00	-Extension	Загрузить расширение по имени	
e9d593b9-dd41-11e8-83dc-485ab6090f00	e9d593ba-dd41-11e8-83dc-485ab6090f00	-files	Непосредственно	
e9d593b9-dd41-11e8-83dc-485ab6090f00	e9d593bb-dd41-11e8-83dc-485ab6090f00	-listFile	В отдельном файле	
e9d593c1-dd41-11e8-83dc-485ab6090f00	e9d593c2-dd41-11e8-83dc-485ab6090f00	Hierarchical	Иерархический	
e9d593c1-dd41-11e8-83dc-485ab6090f00	e9d593c3-dd41-11e8-83dc-485ab6090f00	Plain	Линейный	
e9d593c8-dd41-11e8-83dc-485ab6090f00	e9d593c9-dd41-11e8-83dc-485ab6090f00	-EnableSupport	Поставть на поддержку (если возможно)	
e9d593c8-dd41-11e8-83dc-485ab6090f00	e9d593ca-dd41-11e8-83dc-485ab6090f00	-DisableSupport	Не ставить на поддержку	
e9d593cb-dd41-11e8-83dc-485ab6090f00	e9d593cc-dd41-11e8-83dc-485ab6090f00	-IncludeObjectsByUnresolvedRefs	Пометить для объединения	
e9d593cb-dd41-11e8-83dc-485ab6090f00	e9d593cd-dd41-11e8-83dc-485ab6090f00	-ClearUnresolvedRefs	Очищать	
e9d593d1-dd41-11e8-83dc-485ab6090f00	e9d593d2-dd41-11e8-83dc-485ab6090f00	-Dynamic+	Разрешено динамическое обновление (если возможно)	
e9d593d1-dd41-11e8-83dc-485ab6090f00	e9d593d3-dd41-11e8-83dc-485ab6090f00	-Dynamic-	Динамическое обновление запрещено	
e9d593d4-dd41-11e8-83dc-485ab6090f00	e9d593d5-dd41-11e8-83dc-485ab6090f00	-Dynamic+	Разрешено динамическое обновление (если возможно)	
e9d593d4-dd41-11e8-83dc-485ab6090f00	e9d593d6-dd41-11e8-83dc-485ab6090f00	-Dynamic-	Динамическое обновление запрещено	
e9d593e4-dd41-11e8-83dc-485ab6090f00	e9d593e5-dd41-11e8-83dc-485ab6090f00	Hierarchical	Иерархический	
e9d593e4-dd41-11e8-83dc-485ab6090f00	e9d593e6-dd41-11e8-83dc-485ab6090f00	Plain	Линейный (не рекомендуется)	
e9d59405-dd41-11e8-83dc-485ab6090f00	e9d59406-dd41-11e8-83dc-485ab6090f00	-AllExtensions	Проверять все расширения	
e9d59405-dd41-11e8-83dc-485ab6090f00	e9d59407-dd41-11e8-83dc-485ab6090f00	-Extension	Проверять расширение по имени	
e9d59412-dd41-11e8-83dc-485ab6090f00	e9d59413-dd41-11e8-83dc-485ab6090f00	-AllExtensions	Проверять все расширения	
e9d59412-dd41-11e8-83dc-485ab6090f00	e9d59414-dd41-11e8-83dc-485ab6090f00	-Extension	Проверять расширение по имени	
e9d59417-dd41-11e8-83dc-485ab6090f00	e9d59418-dd41-11e8-83dc-485ab6090f00	-LogIntegrity	Проверка логической целостности	
e9d59417-dd41-11e8-83dc-485ab6090f00	e9d59419-dd41-11e8-83dc-485ab6090f00	-LogAndRefsIntegrity	Проверка логической и ссылочной целостности	
e9d5941d-dd41-11e8-83dc-485ab6090f00	e9d5941e-dd41-11e8-83dc-485ab6090f00	Неопределено	Тестирование и исправление	
e9d5941d-dd41-11e8-83dc-485ab6090f00	e9d5941f-dd41-11e8-83dc-485ab6090f00	-TestOnly	Только тестирование	
e9d59420-dd41-11e8-83dc-485ab6090f00	e9d59421-dd41-11e8-83dc-485ab6090f00	-BadRefCreate	Создавать объекты	
e9d59420-dd41-11e8-83dc-485ab6090f00	e9d59422-dd41-11e8-83dc-485ab6090f00	-BadRefClear	Очищать объекты	
